,n,b,score,ranking
2013-01-01,-0.15675,0.05675,0.6397371322408987,307
2013-01-02,-0.05025,-0.04975,0.3889388559063052,1576
2013-01-03,-0.15675,0.05675,0.6518150830480554,253
2013-01-04,0.197,-0.297,0.5218423885126421,918
2013-01-05,-0.05025,-0.04975,0.38126773002213316,1623
2013-01-06,-0.15675,0.05675,0.5812690434440655,606
2013-01-07,0.197,-0.297,0.5263370252405913,897
2013-01-08,-0.15675,0.05675,0.6613947783322327,211
2013-01-09,-0.15675,0.05675,0.5624420491252038,710
2013-01-10,-0.05025,-0.04975,0.44340480348687716,1284
2013-01-11,-0.05025,-0.04975,0.36292658457500304,1691
2013-01-12,-0.15675,0.05675,0.5627416197143795,708
2013-01-13,-0.15675,0.05675,0.6193569817252828,402
2013-01-14,-0.05025,-0.04975,0.24693758042737618,1976
2013-01-15,-0.05025,-0.04975,0.26200657339895733,1964
2013-01-16,-0.05025,-0.04975,0.3550169976607222,1728
2013-01-17,-0.05025,-0.04975,0.3189735103732461,1865
2013-01-18,-0.15675,0.05675,0.625139786607622,374
2013-01-19,-0.15675,0.05675,0.5273580739583031,893
2013-01-20,-0.15675,0.05675,0.4870157038931767,1073
2013-01-21,0.5905,0.3095,0.7172519015137244,77
2013-01-22,-0.05025,-0.04975,0.3819378959610772,1620
2013-01-23,-0.05025,-0.04975,0.4054022563750339,1485
2013-01-24,-0.15675,0.05675,0.48602014510292346,1082
2013-01-25,-0.15675,0.05675,0.5564493820379854,736
2013-01-26,-0.15675,0.05675,0.6088738071767894,456
2013-01-27,-0.15675,0.05675,0.5079205138062157,979
2013-01-28,-0.15675,0.05675,0.6300558414676538,348
2013-01-29,-0.15675,0.05675,0.5519489048064956,768
2013-01-30,-0.15675,0.05675,0.5766645000165378,632
2013-01-31,-0.15675,0.05675,0.5518634710216483,769
2013-02-01,0.5905,0.3095,0.7481822547607151,31
2013-02-02,-0.05025,-0.04975,0.39892022202096533,1522
2013-02-03,-0.15675,0.05675,0.515383125683528,946
2013-02-04,0.197,-0.297,0.46580359296825513,1184
2013-02-05,-0.05025,-0.04975,0.30233250800231826,1901
2013-02-06,-0.15675,0.05675,0.6167090876003805,414
2013-02-07,-0.15675,0.05675,0.443226390089618,1286
2013-02-08,-0.05025,-0.04975,0.29374511608812554,1917
2013-02-09,-0.05025,-0.04975,0.4157488988695299,1433
2013-02-10,-0.15675,0.05675,0.6590773263996328,224
2013-02-11,-0.05025,-0.04975,0.4137094624951977,1450
2013-02-12,-0.15675,0.05675,0.5907481374089407,564
2013-02-13,-0.15675,0.05675,0.575911704352857,638
2013-02-14,-0.15675,0.05675,0.4817182407706058,1102
2013-02-15,-0.05025,-0.04975,0.34241246332842334,1786
2013-02-16,-0.05025,-0.04975,0.363148898323217,1689
2013-02-17,0.5905,0.3095,0.6845697780975133,146
2013-02-18,-0.05025,-0.04975,0.4274894631654769,1370
2013-02-19,-0.05025,-0.04975,0.2589567875709813,1968
2013-02-20,-0.05025,-0.04975,0.4259267175515836,1379
2013-02-21,-0.05025,-0.04975,0.36919341756669466,1672
2013-02-22,-0.05025,-0.04975,0.34584623997552333,1769
2013-02-23,-0.05025,-0.04975,0.44893410310726944,1257
2013-02-24,0.197,-0.297,0.4824799617996761,1097
2013-02-25,0.5905,0.3095,0.674502409529296,175
2013-02-26,-0.05025,-0.04975,0.33286259814218894,1821
2013-02-27,-0.05025,-0.04975,0.37526300993190287,1646
2013-02-28,-0.05025,-0.04975,0.4265010745122851,1374
2013-03-01,0.197,-0.297,0.47804361016978875,1121
2013-03-02,-0.05025,-0.04975,0.3616660609723768,1701
2013-03-03,-0.05025,-0.04975,0.3851472818668946,1599
2013-03-04,-0.05025,-0.04975,0.3114932020795178,1883
2013-03-05,-0.05025,-0.04975,0.30430347007354636,1898
2013-03-06,-0.15675,0.05675,0.6650020657915359,202
2013-03-07,0.197,-0.297,0.5084992022856659,977
2013-03-08,-0.05025,-0.04975,0.39423919027357335,1550
2013-03-09,0.197,-0.297,0.480282631831362,1110
2013-03-10,-0.05025,-0.04975,0.4289308820038107,1364
2013-03-11,-0.15675,0.05675,0.5483904196315901,788
2013-03-12,-0.15675,0.05675,0.6289116484406732,353
2013-03-13,0.5905,0.3095,0.7230429253172777,63
2013-03-14,-0.15675,0.05675,0.597133916871204,526
2013-03-15,0.5905,0.3095,0.7251714924651205,58
2013-03-16,-0.15675,0.05675,0.39042039167282044,1567
2013-03-17,0.5905,0.3095,0.6657522003500179,198
2013-03-18,-0.15675,0.05675,0.6069637654590536,466
2013-03-19,-0.15675,0.05675,0.5760794119627306,637
2013-03-20,-0.15675,0.05675,0.6073408621228402,465
2013-03-21,-0.15675,0.05675,0.4409944868319286,1301
2013-03-22,-0.15675,0.05675,0.582426248972999,600
2013-03-23,-0.15675,0.05675,0.6285690057209397,354
2013-03-24,0.5905,0.3095,0.7182315235793213,75
2013-03-25,-0.15675,0.05675,0.5585383825381083,723
2013-03-26,-0.15675,0.05675,0.535320511768545,850
2013-03-27,-0.05025,-0.04975,0.3598594365132371,1711
2013-03-28,0.5905,0.3095,0.673232169416166,181
2013-03-29,-0.05025,-0.04975,0.42630008877277475,1376
2013-03-30,-0.15675,0.05675,0.5576191836986368,728
2013-03-31,-0.15675,0.05675,0.6410613946490684,301
2013-04-01,-0.05025,-0.04975,0.40776620394784324,1476
2013-04-02,0.5905,0.3095,0.6774915992426311,164
2013-04-03,-0.05025,-0.04975,0.34383575248981185,1775
2013-04-04,-0.05025,-0.04975,0.3737870282721786,1656
2013-04-05,-0.05025,-0.04975,0.3686313477494274,1676
2013-04-06,-0.15675,0.05675,0.48291880414943056,1092
2013-04-07,-0.15675,0.05675,0.6236896221651662,382
2013-04-08,-0.15675,0.05675,0.6208844217743912,393
2013-04-09,-0.05025,-0.04975,0.40040907653139685,1516
2013-04-10,-0.05025,-0.04975,0.38123302932998826,1624
2013-04-11,-0.15675,0.05675,0.48677034063596686,1077
2013-04-12,-0.15675,0.05675,0.5663483741787714,680
2013-04-13,-0.15675,0.05675,0.5725828386778584,655
2013-04-14,-0.15675,0.05675,0.5358178184622705,845
2013-04-15,-0.15675,0.05675,0.5870971430667193,578
2013-04-16,-0.05025,-0.04975,0.4323240685451631,1346
2013-04-17,0.197,-0.297,0.5508948720968425,775
2013-04-18,-0.05025,-0.04975,0.4139662250265471,1448
2013-04-19,-0.15675,0.05675,0.6206040312578212,397
2013-04-20,-0.05025,-0.04975,0.39404432673870665,1552
2013-04-21,-0.05025,-0.04975,0.24649830277607668,1977
2013-04-22,-0.05025,-0.04975,0.3978788899640627,1530
2013-04-23,-0.05025,-0.04975,0.4048184167952822,1489
2013-04-24,0.197,-0.297,0.597059368998823,527
2013-04-25,-0.15675,0.05675,0.5846111228175102,590
2013-04-26,-0.05025,-0.04975,0.424123787386689,1388
2013-04-27,-0.15675,0.05675,0.5972230584235805,524
2013-04-28,-0.15675,0.05675,0.5065057569904374,982
2013-04-29,0.5905,0.3095,0.6914258251612018,127
2013-04-30,-0.15675,0.05675,0.660154642614942,220
2013-05-01,-0.15675,0.05675,0.6632825557634439,206
2013-05-02,-0.05025,-0.04975,0.3272490036164209,1838
2013-05-03,0.197,-0.297,0.512223544874888,965
2013-05-04,-0.15675,0.05675,0.48785191497661756,1069
2013-05-05,-0.15675,0.05675,0.6469485675040216,276
2013-05-06,0.5905,0.3095,0.7752364500647984,13
2013-05-07,-0.05025,-0.04975,0.32075709398954494,1857
2013-05-08,-0.15675,0.05675,0.5546961816317783,753
2013-05-09,-0.05025,-0.04975,0.40797210920701127,1474
2013-05-10,-0.15675,0.05675,0.559721947670704,718
2013-05-11,-0.05025,-0.04975,0.2759469255147094,1942
2013-05-12,-0.15675,0.05675,0.6054850379844822,481
2013-05-13,-0.05025,-0.04975,0.3150157029019116,1875
2013-05-14,-0.15675,0.05675,0.6378873944508145,313
2013-05-15,-0.05025,-0.04975,0.3264460612612958,1840
2013-05-16,0.197,-0.297,0.5239947524014031,906
2013-05-17,-0.05025,-0.04975,0.337339736613101,1806
2013-05-18,-0.05025,-0.04975,0.374235078703546,1653
2013-05-19,-0.05025,-0.04975,0.46508137738957367,1187
2013-05-20,-0.05025,-0.04975,0.3015308546852836,1905
2013-05-21,-0.05025,-0.04975,0.4181967947683304,1418
2013-05-22,0.5905,0.3095,0.7045714203425943,99
2013-05-23,-0.15675,0.05675,0.4714013412351018,1155
2013-05-24,-0.15675,0.05675,0.6147707086825843,430
2013-05-25,-0.15675,0.05675,0.6207906235398739,396
2013-05-26,-0.15675,0.05675,0.6625458297421849,208
2013-05-27,-0.05025,-0.04975,0.30104394312975347,1906
2013-05-28,-0.05025,-0.04975,0.2943634709532579,1916
2013-05-29,-0.05025,-0.04975,0.44175532524935185,1295
2013-05-30,-0.05025,-0.04975,0.4237587738586549,1391
2013-05-31,-0.05025,-0.04975,0.4200394280276702,1410
2013-06-01,-0.15675,0.05675,0.627715856759758,359
2013-06-02,-0.15675,0.05675,0.5455980222737207,808
