,nl,ns,score,ranking
2013-01-01,112.311,-418.81100000000004,0.4829271520612494,1307
2013-01-02,-57.7025,-98.7975,0.4914539671479556,1157
2013-01-03,150.41725,-483.91725,0.4812569739220154,1334
2013-01-04,428.78425000000004,-140.28425,0.518142135942599,712
2013-01-05,-66.7135,-873.7864999999999,0.4195723458273819,1941
2013-01-06,-72.7475,141.2475,0.503849009155934,932
2013-01-07,451.55725,66.94274999999999,0.5316324753246369,482
2013-01-08,183.44,-494.94,0.4826651493403306,1312
2013-01-09,-136.53300000000002,410.033,0.5169803390185972,727
2013-01-10,146.56425000000002,574.9357500000001,0.5483540063767816,279
2013-01-11,-116.45975,-793.04025,0.4264292515689918,1910
2013-01-12,-148.668,-474.832,0.4601764137859463,1624
2013-01-13,36.94375,-478.44375,0.47407355143982877,1442
2013-01-14,-427.4785,-494.02150000000006,0.42413827106248947,1922
2013-01-15,-492.43925,454.93925,0.49868063702700927,1038
2013-01-16,-187.90475,-149.59525,0.4810012038642684,1338
2013-01-17,-313.7105,-205.7895,0.4691627839408871,1520
2013-01-18,29.61575,-943.1157499999999,0.4261304520756354,1914
2013-01-19,-263.9905,381.4905,0.5072562396979449,883
2013-01-20,-307.82675,-620.67325,0.42218359017915524,1929
2013-01-21,419.703,99.797,0.5317102805890842,481
2013-01-22,-73.34325,178.84325,0.506579551508597,895
2013-01-23,33.22,765.28,0.5557769079273045,202
2013-01-24,-303.23725,-640.26275,0.4191522203109664,1944
2013-01-25,-81.33075,-916.16925,0.3683318592766634,1998
2013-01-26,26.9745,131.5255,0.5095724335843452,842
2013-01-27,-220.06074999999998,948.56075,0.549000575711988,272
2013-01-28,100.4065,706.0935,0.557071814484491,194
2013-01-29,-191.94299999999998,115.443,0.49637360281260895,1077
2013-01-30,-109.64850000000001,-326.8515,0.4745006775788526,1437
2013-01-31,-170.81799999999998,491.318,0.5202507716209045,680
2013-02-01,486.4525,-531.9525,0.49810371570199996,1046
2013-02-02,-9.184750000000001,310.68475,0.5187843662794902,699
2013-02-03,-317.634,289.134,0.49906458778754714,1029
2013-02-04,200.3495,614.1505,0.558859294542019,186
2013-02-05,-181.31025,1119.81025,0.5859695285570227,62
2013-02-06,51.783500000000004,261.7165,0.5198739105872459,687
2013-02-07,-494.776,-316.724,0.44044805249410457,1812
2013-02-08,-404.27225,-66.22775,0.4724133065343516,1471
2013-02-09,9.997000000000002,-882.4970000000001,0.43317418852181777,1873
2013-02-10,186.732,-418.23199999999997,0.4869808063563459,1232
2013-02-11,30.309,-258.80899999999997,0.48705606809927526,1229
2013-02-12,-61.3365,-344.1635,0.4767234984348515,1406
