,u,n,score,ranking
2013-01-01,-0.05,-0.05,0.3933709300858532,1412
2013-01-02,0.2635,-0.3635,0.684013135502965,280
2013-01-03,-0.0655,-0.0345,0.6046730263106261,592
2013-01-04,-0.10825000000000001,0.00825,0.5676975174393273,745
2013-01-05,-0.135,0.035,0.3736885515328807,1487
2013-01-06,-0.05025,-0.04975,0.2878383126340841,1810
2013-01-07,-0.166,0.066,0.3536762345320758,1559
2013-01-08,0.07050000000000001,-0.17049999999999998,0.6695318928353391,336
2013-01-09,-0.09075,-0.009250000000000001,0.5494891411541826,813
2013-01-10,-0.04725,-0.05275,0.5666757049406316,752
2013-01-11,-0.05,-0.05,0.13908023413425413,1997
2013-01-12,0.71425,0.18575,0.7791571958990496,32
2013-01-13,-0.03,-0.07,0.7030635152548326,217
2013-01-14,-0.078,-0.022,0.3421031774832274,1598
2013-01-15,-0.0945,-0.0055,0.3442620194647939,1591
2013-01-16,-0.11875000000000001,0.01875,0.3674992158119219,1503
2013-01-17,-0.05,-0.05,0.32399382863544174,1675
2013-01-18,-0.0635,-0.0365,0.4859255819488042,1068
2013-01-19,-0.131,0.031,0.5056857433021493,998
2013-01-20,-0.05,-0.05,0.3329000989405585,1630
2013-01-21,-0.10500000000000001,0.005,0.5706043439695212,733
2013-01-22,-0.05,-0.05,0.25191784009485063,1919
2013-01-23,-0.114,0.014,0.4193938233892854,1318
2013-01-24,-0.09075,-0.00925,0.43139884753197166,1269
2013-01-25,-0.05,-0.05,0.3972784013132425,1397
2013-01-26,-0.10250000000000001,0.0025000000000000022,0.7008249484193654,225
2013-01-27,-0.053500000000000006,-0.0465,0.3131073122392774,1713
2013-01-28,-0.05,-0.05,0.4666045973560867,1136
2013-01-29,-0.09925,-0.00075,0.5562357442925684,787
2013-01-30,-0.14800000000000002,0.048,0.3306570738314346,1639
2013-01-31,-0.04925,-0.05075,0.5029813350017993,1011
2013-02-01,-0.0945,-0.0055,0.33834605433604437,1606
2013-02-02,-0.112,0.012,0.3039666215091684,1748
2013-02-03,0.6835,0.2165,0.7590980489898238,62
2013-02-04,0.74275,0.15725,0.7416380943011409,103
2013-02-05,-0.00425,-0.09575,0.6358472821040644,476
2013-02-06,-0.05,-0.05,0.36092737355424936,1533
2013-02-07,-0.095,-0.005,0.30314325115551066,1753
2013-02-08,-0.046,-0.054000000000000006,0.5385095626567982,866
2013-02-09,-0.05,-0.05,0.3240087226950703,1674
2013-02-10,-0.112,0.012,0.3328471076302728,1631
2013-02-11,-0.135,0.035,0.5427851971099449,842
2013-02-12,-0.05,-0.05,0.14904763878051727,1996
2013-02-13,0.18225,-0.28225,0.6541736658038941,387
2013-02-14,-0.12375,0.02375,0.41034770385026836,1355
2013-02-15,-0.18974999999999997,0.08975,0.6841359156625759,279
2013-02-16,-0.093,-0.007,0.4068952234284759,1362
2013-02-17,-0.054000000000000006,-0.046,0.4736338635274487,1110
2013-02-18,-0.08225,-0.017750000000000002,0.5142103176163978,960
2013-02-19,-0.16025,0.06025,0.4111710487201728,1352
2013-02-20,0.2875,-0.38749999999999996,0.7024941049260525,219
2013-02-21,-0.01125,-0.08875,0.5976068113480446,623
2013-02-22,0.22275,-0.32275,0.6956122946729929,243
2013-02-23,0.15625,-0.25625,0.6497472448008887,409
2013-02-24,-0.096,-0.004,0.5550835052052823,793
2013-02-25,0.58275,0.31725,0.7921710404350364,19
